brightness,X,Y,Z,Y,x,y
0.0,0.0,0.0,0.0,0.0,0.333333,0.333333
0.05,4.852401,5.117008,5.825151,5.117008,0.30722,0.323973
0.1,5.381536,5.677215,6.460854,5.677215,0.307172,0.324049
0.15,6.440864,6.795379,7.728226,6.795379,0.307228,0.324138
0.2,8.573552,9.048332,10.284084,9.048332,0.30723,0.324244
0.25,10.839951,11.445764,13.000384,11.445764,0.307202,0.32437
0.3,13.536538,14.30445,16.25298,14.30445,0.306993,0.324408
0.35,17.32122,18.258561,20.771302,18.258561,0.30738,0.324014
0.4,22.178485,23.472142,26.641241,23.472142,0.306791,0.324686
0.45,28.341281,29.898516,33.966348,29.898516,0.307369,0.324257
0.5,35.887377,37.926067,43.023516,37.926067,0.307158,0.324607
0.55,46.296098,48.880685,55.490538,48.880685,0.307274,0.324428
0.6,59.294814,62.731537,71.229559,62.731537,0.30682,0.324603
0.65,77.483323,81.903843,93.098161,81.903843,0.306882,0.324391
0.7,99.852801,105.645022,120.078287,105.645022,0.306696,0.324486
0.75,127.87285,135.280648,153.802199,135.280648,0.306682,0.324448
0.8,167.111673,176.863066,201.016825,176.863066,0.306632,0.324524
0.85,216.676849,229.557999,260.701615,229.557999,0.306501,0.324722
0.9,280.957986,297.88798,337.965008,297.88798,0.306451,0.324918
0.95,361.249609,383.033078,434.643217,383.033078,0.306423,0.3249
1.0,462.319736,490.246717,556.462026,490.246717,0.306369,0.324876
